id,reduced_formula,spacegroup
mp-1174173,Li4Mn3CoO8,10
mp-862910,PmH3,225
mp-1102077,NaAlF4,63
mp-755686,Li2VF6,63
mp-556592,TlBi(PS3)2,4
mp-1206645,Sr2TiMnO6,87
mp-976599,LiHg3,221
mp-1007857,Ga,64
mp-1078508,HoTe3,63
mp-1520386,Sr2ZrFeO6,225
mp-21399,CeMnGe,129
mp-1104018,Nd5(MnB3)2,166
mp-1216827,TmIn2Sn,123
mp-1205648,Rb2NiAs2,63
mp-1228048,Ba4Ta2TiZnO12,123
mp-1215478,Zr2VCo3,166
mp-1228416,Ba2AlIn3,8
mp-1215693,YbGd(PO4)2,119
mp-569175,ZrCl4,13
mp-1186473,Pm2PdAu,225
mp-1068775,NdSi3Os,107
mp-1102662,CaMgPd,62
mp-862929,Li2PmAl,225
mp-762289,Li2P2WO8,147
mp-7120,Sm(AlSi)2,164
mp-7449,Cs2Se3,36
mp-1211573,La5Pb3C,193
mp-1228427,Ba2CeBiO6,14
mp-1223860,IrRu,166
mp-416,Cr3Os,223
mp-1226004,CoNiPt2,123
mp-864898,Na2TlBi,225
mp-1018103,ZrAu2,139
mp-1189670,GdSiPt2,62
mp-1228758,AsPRh4,166
mp-8200,AgP2,14
mp-1185350,LiCa3,194
mp-1185251,LiY2Hg,225
mp-1080386,PrSiPt,109
mp-1094174,LaMg3,139
mp-1078676,Tl2SnHgSe4,121
mp-758053,NbCrO4,109
mp-9272,TlPt2S3,164
mp-1217142,Ti2CN,166
mp-10893,MnAlPt2,225
mp-755089,ZrO2,62
mp-1114372,Rb2TlVF6,225
mp-1222387,LuAlFe,38
mp-1218279,SrEuSe2,166
mp-1228114,Ba3SrYb2(ReO6)2,160
mp-20473,Mn2Ge,194
mp-1210673,Mn6Mo6P7,174
mp-675077,Mn2CrO4,74
mp-29288,TlGeI3,62
mp-20661,Ti2PbC,194
mp-1184116,DyTmCd2,225
mp-21217,URhS3,62
mp-1113057,Cs2KAlI6,225
mp-28159,As(BrF2)3,2
mp-569674,La(CoAs)2,139
mp-16842,Nb5Ge3,140
mp-754960,SmIO,166
mp-1186940,Sc2CoCu,225
mp-1227822,BaSi2(NO)2,36
mp-2369,SnPd,62
mp-553964,WO3,57
mp-1078797,SmMnSi2,63
mp-697181,CsLi2(HO)3,11
mp-1220742,Nb12Al3Ga,47
mp-1008626,VTe2,164
mp-1223332,La3Y(MnSi)4,99
mp-16340,GdPPt,187
mp-1209921,Nd2Si5Ni3,72
mp-24154,NbH2,225
mp-1205535,Tl3VF6,225
mp-1113426,CsRb2AsBr6,225
mp-30477,LiCaSn,156
mp-2800,USi3,221
mp-1025344,V(CrTe2)2,12
mp-1522474,Sr2ZrSnO6,225
mp-10318,Tb2Co3Si5,15
mp-1183748,Ce3Cd,139
mp-1206472,K2TcBr6,225
mp-18732,TiNiO3,148
mp-1228740,Ba(AlSe2)2,66
mp-974492,ReTc3,194
mp-552857,TbBi2IO4,123
mp-972601,SmLuMg2,225
mp-1217129,Ti3NbO8,10
mp-30388,HoInAu2,225
mp-1183493,Ca2PdPt,225
mvc-10023,Ho(BiO3)2,31
mp-1068340,CsGeBr3,160
mp-1112165,K2AlCuF6,225
mp-972908,La3Dy,139
mp-13380,HoZnRh,62
mp-1209145,RePbBrO4,31
mp-1208326,TbGa3(BO3)4,155
mp-7233,La2SeO2,164
mp-18870,Mn3Cd2O8,12
mp-1181711,CrWO4,12
mp-1216222,YIn7Cu5,44
mp-1206471,Lu7(TeRh)2,44
mp-570561,Dy2MgSi2,127
mp-1087480,LuAlAu,189
mp-1218349,SrAg3Pd2,191
mp-865004,Dy2ZnOs,225
mp-7726,Rb2UO4,139
mp-1186184,NaSr3,194
mp-9692,K2GeSe3,2
mp-1205914,ErBiRh,189
mp-1206719,NdNiBi,216
mp-567681,CsPbBr3,62
mp-1221710,MnCr2(SeS)2,216
mp-1210295,NaCe(CO3)2,26
mp-676555,Ag8GeTe6,1
mp-8467,YNiGe3,65
mp-1105304,Ca2FeOsO6,14
mp-1112569,Cs2NaAlF6,225
mp-1104514,Lu3Ge4,63
mp-1205847,Cs2PdBr6,225
mp-1227620,Ca3YTi4O12,6
mp-1206464,Ce3(NiGe)4,71
mp-1206905,Sm2MgCu2,127
mp-1184362,Gd2CdHg,225
mp-1225325,Dy2Ga3Cu,156
mp-763983,V2O3F,38
mp-1102318,LiCdBO3,2
mp-1225602,Er4ThCN4,139
mp-12418,SrCaGe,62
mp-23155,Ar,225
mp-7206,TcAgO4,88
mp-5938,SrCu2O3,65
mp-1217840,Tb(AlFe)6,71
mp-1206264,SmNiSb,194
mp-9783,Ba3(AsO4)2,166
mp-1218254,SrLa3(NiO4)2,38
mp-20025,Mn(GaS2)2,82
mp-1209793,Np(FeP3)4,204
mp-757242,Li5AuO4,70
mp-636619,Gd2MnGa6,225
mp-1208835,Sr2AlSbO6,225
mp-1217151,Ti2Cr3Si,194
mp-21207,LaInNi2,51
mp-28611,ThTa2O7,12
mp-975144,RbZn4As3,123
mp-1104420,Tb5Ru2,15
mp-11517,NbRu3,221
mp-29174,SiCl2,19
mp-1079861,TmCoGe2,63
mp-20708,In2Ni3S2,166
mp-756602,Li3Mn4CrO8,12
mp-30799,NdTlPd,189
mp-1018762,Li3CeBi2,164
mp-1018793,LuSe2,129
mp-1224820,GaAgSeS,9
mp-1071478,CeInPt4,216
mp-1027646,Mo3W(SeS3)2,156
mp-6621,Ba2ErRuO6,225
mp-135,Li,229
mp-861960,CaInAu2,225
mvc-605,Ba2YTi3O8,123
mvc-586,YAg(WO4)2,2
mp-27865,KMgCl3,62
mp-21023,Ti3SnC2,194
mp-1114566,Rb2LiErCl6,225
mp-1080712,LiSmSn2,63
mp-560242,NaMnF3,62
mp-1226081,Cr12As4C3N,12
mp-1215988,YGaAg,12
mp-1099619,EuMnO3,221
mp-1102822,ThB4W,65
mp-862588,LiDy2Tc,225
mp-1521867,KBaNdWO6,216
mp-7500,Na4SiO4,2
mp-1104717,Na2AgF4,14
mp-15724,KNa2Sb,225
mp-1228803,AlNiGe,216
mp-998568,KAgBr3,99
mp-754513,ZrMnO3,161
mp-21209,Cu3(AsO4)2,2
mp-1263325,AlNiF5,71
mp-1105286,Eu3Pd2,148
mp-1018674,DyAlZn,194
mp-1102603,YGaNi,62
mp-570184,ThPd3,194
mp-1018059,GaSb,186
mp-21089,Ce(MnGe)2,139
mp-758567,Li3Co2(SiO4)2,1
mp-1214570,Ba2YbCu3O7,47
mp-103,Hf,194
mp-559025,BaErAgS3,12
mp-505149,CsCr5Se8,12
mp-862944,Er2CuRu,225
mp-553919,Ag6Mo2ClO7F3,156
mp-1215689,Zr2Ga3Ni,8
mp-754716,Li2CuNiO4,119
mp-1205526,TbMn2SiC,63
mp-1359,NbIr,123
mp-1206532,Tl2NiF4,139
mp-1228703,BSbPbS4,4
mp-630851,Cs3NaPb4,63
mp-761104,LiV2OF5,1
mp-756134,ZrSeO,129
mp-1226473,CeYFe4,216
mp-1246563,LuMg2Cr3S8,166
mp-754579,Li2FeF4,55
mp-1018027,VN,187
mp-567604,GeBr4,14
mp-1536,KSb,14
mp-1222813,LuGa2Ni3,189
mp-1205977,Ba2ErReO6,225
mp-1188625,LuFe4(CuO4)3,204
mp-977398,TbCdAg2,225
mp-1223393,KRb2W(OF)3,42
mp-1213865,Ce3Al11,71
mp-505803,MnFeAs,129
mp-1220322,NbRe,65
mp-1218010,SrNdNiO4,63
mp-27187,Be2TlF5,15
mp-1018809,MoS2,194
mp-2642,CdAg,221
mp-1208896,SmSbRh,62
mp-1025288,TbGa5Co,123
mp-1183048,ZrSnRu2,225
mp-1304693,Co2NiO4,15
mp-1317991,Li3Ti(NiO2)4,2
mp-998421,KCaCl3,148
mp-1174185,Li4Mn3CoO8,12
mp-30620,DyRh5,191
mp-865270,TmTaOs2,225
mp-19052,K3VO4,121
mp-1113596,Rb2CuBiI6,225
mp-1094669,MgSn,221
mp-793,Ca5Si3,140
mp-19843,CeAlO3,74
mp-699173,CsHIF7,2
mp-1103974,La(Mo3S4)2,148
mp-1217028,TiB2Mo,38
mp-30599,Ti2Cu3,139
mp-1184994,KHg3,225
mp-764949,MnF3,55
mp-868007,Li3CuNi3O8,166
mp-1114330,Na3GaF6,225
mp-1220749,NaVWO6,8
mp-1104698,Eu3Pt2,148
mp-13815,Rb2NaErF6,225
mp-1289129,Li2MnNiO4,21
mp-1068797,Nd(GeAu)2,139
mp-1018154,Hf2Hg,139
mp-644514,MnO2,12
mp-9697,Cs6GaSb3,11
mp-1219923,Pr2CuSi3Rh2,38
mp-27770,RhCl3,12
mp-37297,U2PS,141
mp-996978,CuAuO2,12
mp-774621,Li5MnO4,41
mp-974883,Rb3Na,225
mp-555718,SrNiF6,166
mp-1025059,LaAg2,74
mp-1226677,CeHo4S7,12
mp-1206551,Ge2Bi2Te5,164
mp-1185445,LiTbIn2,225
mp-1218467,SrCaV2O6,26
mp-862589,Re3Pt,194
mp-1025359,Fe(NiSe2)2,12
mp-24073,Gd(HO)3,176
mp-623043,GdInRh,189
mp-15009,La3(GeRh)4,71
mp-1205873,MgHg3,194
mp-545659,Ba2DyBiO6,225
mp-5326,Yb(CoSi)2,139
mp-31120,DyScO3,62
mp-1188668,FePH2O5,15
mp-1520564,Ba2CaSeO6,225
mp-1215494,YbZnCuP2,156
mp-1147544,Ba2TlCu3O7,47
mp-1080816,Cr3PN,63
mp-552567,Ba2NiMoO6,225
mp-9348,KRb2ScF6,87
mp-1225983,Cs4InSbCl12,123
mp-570886,BeI2,72
mp-1025067,ReGe2,12
mp-1268195,InAgSe2,33
mp-1147563,Sr4Fe3ClO8,123
mp-4664,MnGeRh2,225
mp-1238817,Li(CrS2)2,10
mp-555101,K3Co2F7,139
mp-756682,Li2TiFe2O5,5
mp-7434,NaCuTe,129
mp-1111242,K2LiTlBr6,225
mp-1118,SiNi2,62
mp-1080579,NdCd2Pd,63
mp-1068685,U2PtC2,139
mp-8963,Cs2HgF4,139
mp-7457,SnF2,92
mp-1186427,Pd,194
mp-1212830,Dy7(TePd)2,44
mp-1205545,HoRe2SiC,63
mp-1629,Th2Au,140
mp-1025351,Sr4Bi2O,139
mp-1206704,MoPd2,71
mp-1025382,Th2Fe2Si2C,12
mp-775462,LiFeCuO4,74
mp-20652,PbF3,132
mp-10089,Ba5Sb4,64
mp-8609,Li6UO6,166
mp-27758,AlTl2F5,63
mp-1221626,MnFeP2,26
mp-1225508,Er2Se3,115
mp-867242,Sc2ZnGa,225
mp-1077802,UGaCu,194
mp-1205595,Ba2TmMoO6,225
mp-4342,KNbO3,99
mp-1104930,KLaTiO4,129
mp-1078836,KI,63
mp-971979,Tm2ZnAg,225
mp-1103605,VFeP,62
mp-8361,CsTe,55
mp-975655,PrNiGe2,63
mp-979057,Sm2ZnAg,225
mp-1007923,CrNi3,139
mp-643749,KCaF3,11
mp-5919,SmTiGe,129
mp-773982,Mg3Fe4O7,44
mp-558796,Ag(Bi2S3)3,12
mp-1003311,CaMn2O4,2
mp-1519753,Sr2HfZrO6,225
mp-982872,Hg,166
mp-23593,Sr3Co2Cl2O5,139
mp-1225608,Er3Sc2S7,12
mp-1070135,Er2Mg2Ru,139
mp-1212073,HoZnGe,194
mp-761415,CuNi3O4,65
mp-1206990,Sm3SnN,221
mp-760512,LiCuCO3,2
mp-1184268,Ga3Hg,139
mp-1222139,Mg4CdAg5,123
mp-1077244,GdZnGa,194
mp-1080017,Cs2NaLaCl6,225
mp-5699,K2CuF4,139
mp-568630,LuRu2,194
mp-867206,LiCd2Pt,225
mp-1220339,Nd2CdSb4,115
mp-1184658,HgPd3,139
mp-1208919,Sm2MgPtO6,14
mp-31427,ErInNi,189
mp-1212101,HoSbIr,62
mp-28683,Ta(ICl)2,71
mp-1183812,CePmMg2,225
mp-35208,NdOF,216
mp-1516294,BaSrZrSnO6,216
mp-1184787,HoErMg2,225
mp-863698,Pm2MgAl,225
mp-1094105,Na4ZnSe3,9
mp-570452,Y(SiAu)2,139
mp-626000,NaHO,4
mp-1184700,Hg3Pb,194
mp-972954,MgCd2,189
mp-756202,Ba2SrI6,14
mp-760292,V3(O2F)2,2
mp-1190112,Sm2Ge5Rh3,15
mp-4763,ZnSiP2,122
mp-867235,LiY2Ir,225
mp-1184839,HoInRh2,225
mp-865520,YCdPd2,225
mp-15659,Sb2Pt3,72
mp-1216498,V3S5,2
mp-1068782,SmSi3Os,107
mp-19357,LaCrO3,167
mp-1114538,KRb2GdCl6,225
mp-30251,YAuO2,194
mp-18942,VP2O7,15
mp-2213,FeNi,123
mp-754905,Ni3OF5,10
mp-1173720,NaHo2F7,1
mp-569610,CoI2,164
mp-560029,Y3BrO4,63
mp-861881,LiGeAu2,225
mp-7904,CdP4,14
mp-1094292,Sr5Mg,189
mp-1104257,Ba6Os2N6O,148
mp-7113,CrAuS2,166
mp-864948,MnGaPt2,225
mp-20944,Sr2PbO4,55
mp-1215529,ZnCu3,166
mp-28497,Cs2CrCl4,139
mp-1225473,ErSiPd,12
mp-614502,Gd,225
mp-2964,NaNO2,44
mp-11580,TiCrP,189
mp-1206736,Cs2KLaF6,225
mp-1214794,AsRuSe,14
mp-8958,RbPd2F5,74
mp-1007652,InAs,186
mp-865193,Co3Pt,194
mp-2677,ScPd3,221
mp-765601,Li3V4O11F,1
mp-1186288,Nd5Mg,38
mp-973056,Na2CdHg,225
mp-801,Mo3Os,223
mp-1105360,NbBRu,51
mp-1187935,ZnGaNi2,225
mp-1078708,TcCl3,12
mp-1841,SiIr3,140
mp-1216565,TmBeCu4,160
mp-1223391,KNiSbO4,8
mp-1222182,Mg(InTe2)2,82
mp-677489,CsTiCuOF5,74
mp-1219982,Pr2In3Cu,156
mp-1205707,Tb2MgCu2,127
mp-755413,Na2O,166
mp-1215855,Zr10NiSnSb4,97
mp-1276338,BaYCrCuO5,99
mp-11412,ScGa2,74
mp-864882,Yb2PdRh,225
mp-28319,PtI2,14
mp-19942,BaGdAuSe3,63
mp-18977,Ba2CaWO6,225
mp-1101092,Y2In8Co,123
mp-2443,DyHg,221
mp-1184891,HoLuCu2,225
mp-1214401,Ca2ZnAs2(H2O5)2,2
mp-1216993,U2Co3CuGe4,115
mp-19208,La2MnCoO6,14
mp-5370,ErNbO4,15
mp-1214600,Ba2NdCoCu2O7,47
mp-1207382,ZrSiAs,62
mp-1213975,CaB4,127
mp-23730,NaMgH3,62
mp-865659,Y2ZnIr,225
mp-1219931,Pr2AlZn,123
mp-987,ZnCu,221
mp-1018125,Ti2Re,164
mp-1186724,Pr3Nd,139
mp-1025549,Tl3VSe4,217
mp-985806,Al2Cu,225
mp-865566,LuZnRh2,225
mp-1518601,BaSrEuWO6,216
mp-1227285,BiPd3,225
mp-1181839,Cs4Sr(SnSe3)3,146
mp-1223829,Ho4Si3Ge,25
mp-21897,YbIn4Pt,63
mp-1447,SmSe,225
mp-630976,In3Ir,136
mp-1079075,YGa2Pd,63
mp-1227381,Ca2TiAlSi2O9F,1
mp-759410,V4O5F7,5
mp-560071,KRb2CoF6,225
mp-7744,LiSO3F,12
mp-37680,LiGdSe2,141
mp-1147639,Cd(Cu3O4)2,225
mp-1025326,Tb2Mo2C3,12
mp-1208259,Ti3CoS6,182
mp-37480,LiSbSe2,141
mp-8415,K2HfF6,189
mp-1068325,Sr(InHg)2,139
mp-1078431,LaBiSe2O,129
mp-754655,Eu2SeO2,164
mp-15472,Ba4LiCu(CO5)2,121
mp-1212894,DySbRh,62
mp-7291,CrP2,12
mp-756358,LiFe2O2F3,1
mp-9201,K4Ge2Au7,166
mp-752426,Li3SbS4,13
mp-1018157,CrN,216
mp-1101169,Y3AlO6,148
mp-1221813,MnCr4CdS8,216
mp-13191,Sc6ReO12,148
mp-865029,LiPaRu2,225
mp-7118,Rb4SnO4,2
mp-1216218,Y(Co5Mo)2,71
mp-1290617,LiFe2O3,1
mp-19023,YbCrO4,141
mp-625939,Co(HO)2,5
mp-1214673,Ba2La2TlCu2O9,139
mp-1219180,Sm2SbO2,139
mp-1206183,TbSiOs2C,63
mp-1113875,Rb2AgAuF6,225
mp-977548,Nd2MgGe2,127
mp-1178405,Cs2HfO3,63
mp-553310,CsCuO2,63
mp-1225375,Dy(Fe5Si)2,71
mp-639789,Fe2Re3,213
mp-1216768,Tl2FeCu3Te4,115
mp-1281,VIr,123
mp-861983,Ti2MnFe,225
mp-8182,As3Rh,204
mp-2591,Ti3O,163
mp-1105968,BH6N,36
mvc-11284,Mg(CrS2)4,166
mp-989642,Cs2NaAlH6,225
mp-1056985,TiPd,123
mp-1221642,MnAl2Co,123
mp-1186205,Nb2MoOs,225
mp-865624,Li2HoTl,225
mp-1187401,ThAgHg2,225
mp-7127,Ba2YbTaO6,225
mp-862734,Pm2ZnSn,225
mp-1227952,CeGa2Ni3,189
mp-28897,BIrPd,43
mp-1112100,K2AgBiI6,225
mp-1206993,Nd(AlSi)2,164
mp-1114702,Rb2LiScF6,225
mp-1113376,Rb2AgAsCl6,225
mp-1094922,CaMg3,221
mvc-6405,Mg(NiO2)2,63
mp-1079853,SrMg2Pd,63
mp-1185766,Mg2IrRh,225
mp-777349,MnOF,2
mp-1218077,Ta2NiS4,164
mp-22922,AgCl,225
mp-19138,BaNiO3,194
mp-568655,In7Pd3,229
mp-1113699,Rb2TlAgI6,225
mp-28786,Zn(BIr)2,139
mp-30019,ZrCu2Te3,12
mp-1187013,SmErIr2,225
mp-1189811,Ce(Sb3Ru)4,204
mp-7257,K3NaP2(O3F)2,164
mp-558552,Ta6S,2
mp-1206043,TbAgAs2,129
mp-850187,Li2V3CrO8,166
mp-1227226,CaErAl4,216
mp-752524,Li2CrSiO4,31
mp-8688,V4GeS8,216
mp-569320,Sm3Ge5,190
mp-1215592,Zr2CN,166
mp-1227433,BaSrY(CuO2)4,38
mp-1095517,EuPIr,198
mp-36031,Ca(LaTe2)2,122
mp-1025191,ScGa5Ni,123
mp-1078182,Nd2Fe2Se2O3,139
mp-568516,K3Bi,225
mp-5175,NaInO2,166
mp-30578,DyCu5,216
mp-21287,Gd(SiAg)2,139
mp-1103629,CeNiP,194
mp-754020,LiCoCuO4,2
mp-1218226,SrLaGaCuO5,8
mp-756507,LiFePHO5,2
mp-15887,Sr2YIrO6,14
mp-1225157,EuCu3Pd2,191
mp-1298536,LiFe2O3,11
mp-1187176,SrCa3,194
mp-862802,CsNpCuS3,63
mp-1095258,SrMgF4,36
mp-1056920,CsI,221
mp-1224097,K4N2O5,71
mp-23763,SnH8(NCl3)2,225
mp-1221385,Na2BrCl,166
mp-1078649,U(NiAs)2,129
mp-867870,SmAl3,194
mp-1186944,Sc2CoRh,225
mp-19022,Na4FeO4,2
mp-865897,Li2AcIn,225
mp-867318,Eu3Tl,194
mp-1078823,Cs2Zr(AgTe2)2,21
mp-5419,LiGa2Ir,225
mp-1209960,NaYCl4,2
mp-1239420,CaTi2O5,63
mp-756123,Tm6WO12,148
mp-865928,Ti2TcPt,225
mp-1209011,Sc3B2Ir5,127
mp-1079181,LiOsF6,148
mp-1080729,CePRu2C,63
mp-4471,ScAlO3,62
mp-1080818,Ho2CoGe2,12
mp-1105905,HoGa2Co3,191
mp-8966,K2Sn2Se5,15
mp-1224702,Fe2PtRh,123
mp-1225490,ErAlGa,187
mp-513,ErGe3,63
mp-1221683,Mn6PtRh,123
mp-1223590,KMgMn2AlGe3(O5F)2,1
mp-675022,CsPbCl3,155
mp-22786,ThNiSn,216
mp-6635,Ba2CaReO6,225
mp-980662,YTmAl2,225
mp-1225179,Fe12Ge3As2,155
mp-11338,Sc3Si3Ni2,63
mp-554072,K2CO3,15
mp-977362,ZnGaRh2,225
mp-1114697,Rb2LiAlF6,225
mp-864933,Mg2AgRh,225
mp-1226254,CrMoAs2,26
mp-557233,AlTlF4,140
mp-1221089,NaCaMgAl(SiO3)4,5
mp-863656,PmH,186
mp-1039383,CaMg3,194
mp-849538,Mn6O7F5,1
mp-30326,Ti5FeSb2,140
mp-1103985,Nd3Pt2,148
mp-866668,Rb2SbBr6,225
mp-1239022,Li2CuO2,12
mp-10733,Sm2O3,164
mp-7420,KHgAs,194
mp-555327,MnSeO4,63
mp-3040,TbCo3B2,191
mp-1179918,Pr(BRh)4,137
mp-984049,CeYZn2,225
mp-1186784,PrY3,194
mp-977559,Dy2MgGe2,127
mp-753738,V3CoO8,1
mp-567558,CsAgCl2,129
mp-977396,TbMgRh2,225
mp-2159,DyTe,225
mp-1215441,YbYAl4,216
mp-23011,RbClO3,160
mp-31114,Ho3GaO6,36
mp-866193,Li2LaIn,225
mp-569675,Tl2Hg2PdCl8,12
mp-690760,TiH,131
mp-1226340,Cr2SbAs,187
mp-756952,Li4MnF8,3
mp-4515,Ag3SbS3,161
mp-780303,Li4Fe3SbO8,12
mp-1078907,Ba2GdMoO6,87
mp-1523183,KEuNb2O6,225
mp-864614,LiMg2Pt,225
mp-850135,Li3V2Cr2O8,2
mp-559377,IOF3,19
mp-1106115,Nd7Pd3,186
mp-9999,Ni(BMo)2,71
mp-621348,TiInAu2,225
mp-753574,MnF4,14
mp-1009756,Ca2Pb,225
mp-2571,Rb2O3,220
mp-1105808,Er7IrI12,148
mp-1225839,Cu2SiS3,9
mp-6526,NaGeSbO5,15
mp-1222074,Mn2In2Se5,166
mp-1069815,In3Pt2,164
mp-1224942,Gd3ErNi4,25
mp-1519203,SrCeEuSbO6,2
mp-1483,SiRh,198
mp-1078887,Sr2MnNbO6,225
mp-12975,Sm2CdPd2,127
mp-1111969,K2TlCuCl6,225
mp-1185365,LiMg2Au,225
mp-1094612,Mg5Ga,8
mp-7048,Al2O3,12
mp-1102464,SmGaPt,62
mp-11918,Ca(BeN)2,140
mp-1080791,UCuBi2,129
mp-1225840,CuAgSe,129
mp-1186238,Nd2GaAg,225
mp-1111166,K3SbBr6,225
mp-634859,CaO2,139
mp-755777,Ce2S2O,14
mp-1104467,Lu(CoGe)6,191
mp-761177,VOF3,76
mp-1147669,Ba3Fe2TeO5,123
mp-505034,Cs2MnS2,72
mp-1312535,LiCoSnO4,12
mp-998761,TlNiF3,221
mp-1018755,LaTlZn,194
mp-8313,Cs2Li2GeO4,2
mp-1224138,In2CuAgS4,82
mp-753693,Ho2Ge2O7,12
mp-1206954,TmPd2Pb,225
mp-984550,CsGaH4,137
mp-1025504,TmGa2Ni,63
mp-755640,V4O5F7,1
mp-1226713,CeDy4S7,8
mp-1215843,Yb2Al3Ga,166
mp-1079680,CaFeO2,113
mp-1213747,Cr3As,223
mp-989631,LaMoN3,15
mp-1228728,Al4InAgTe8,5
mp-1220054,NiRh,166
mp-677242,K2SO4,63
mp-1187827,TlIn3,194
mp-16534,BaSm2FeS5,140
mp-1226791,CaAl3Au,107
mp-866295,DyLuMg2,225
mp-973910,PaAlCu2,225
mp-1018019,PbS,194
mp-1101819,DyFe3,166
mp-27718,CsHgBr3,221
mp-7576,CrSi,198
mp-1218153,SrLiAlSb2,156
mp-977403,Na3Tl,139
mp-1183354,Ba3Yb,194
mp-764935,Li(CoO2)2,2
mp-1186759,Ta2OsRu,225
mp-24084,KH,225
mp-1183227,AgAu,187
mp-1185346,LiCeZn2,225
mp-1114437,Rb2NaCeF6,225
mp-1270,Dy2S3,62
mp-676398,Rb2CrCl4,12
mp-1112435,K2AsAuBr6,225
mp-1229167,As2SeS2,14
mp-12600,Pr2Tl,194
mp-1206538,BaSr(CuO2)2,123
mp-756675,Li5Fe3(SnO5)2,2
mp-864661,ZnCuPd2,225
mp-1184100,Dy3Er,221
mp-555084,GdWClO4,12
mp-1541018,TiPO4F,15
mp-1224809,Ga2Se3,44
mp-20292,Np(SiRh)2,139
mp-1079999,Zr2NiP2,194
mp-1068661,ZrBRh3,221
mp-11809,TiAl2,65
mp-1114378,Rb3TlCl6,225
mp-775175,LiVFeO4,74
mp-999298,Pd3Au,221
mp-1226529,CePr2O6,139
mp-13027,YbZnAu,62
mp-1207100,ScIn,123
mp-1222319,LuGaAu,12
mp-1019547,BaLi2Mg(PO4)2,147
mp-1216802,Tl(V3S4)2,147
mp-1187846,YHoIn2,225
mp-675620,Nd2PbS4,122
mp-755693,LiFeF4,160
mp-1222183,Mg4B3Ir2,5
mp-1223443,KBiS2,166
mp-1518146,KBaCeWO6,216
mp-570756,Cs3Li2Cl5,8
mp-27742,K2CdO2,60
mp-12444,SrCuSF,129
mp-753849,VOF2,2
mp-1187858,YLuRu2,225
mp-554168,KRb2MoF6,225
mp-569628,CaCdAu,62
mp-18940,Sr2NiMoO6,87
mp-1222091,MgTi2Pb4WO12,139
mp-19118,BaNd2CoO5,71
mp-1212805,Er(ZnP)3,194
mp-1208321,TbAl3(BO3)4,155
mp-739,TiP,194
mp-1226646,CeU3Al8,160
mp-9987,Nb2PC,194
mp-1227046,CaSiAu,187
mp-1173979,Li5Mn2CoO8,12
mp-865357,Zn3Pd,139
mp-1102486,SmPO4,141
mp-1147650,KCuH3,140
mp-696347,NaH3SO5,9
mp-1186196,NaYTl2,225
mp-1027339,Te2Mo2SeS,156
mp-1221932,MgZnAg2,123
mp-9791,Tl3AsS3,160
mp-756339,Tm2TeO6,136
mp-1228004,Ce5Nd5Si6,8
mp-20459,TiPbO3,99
mp-1206568,Cs2PdCl6,225
mp-866062,HfSiRu2,225
mp-755414,LiTiS2,227
mp-972522,SmTmZn2,225
mp-1112934,Cs2YAgBr6,225
mp-2592,Si2Mo,139
mp-1187272,Tb2CuIr,225
mp-1209153,RbAlH4,36
mp-1207436,Zr9Pd11,87
mp-921,YRh2,227
mp-1226307,CrCo4SbO8,12
mp-1220159,NdGa3Pd,119
mp-1214569,Ba3CaNb2O9,164
mp-1222815,LaGd(BrO)2,99
mp-979751,TaTiFe2,225
mp-27259,CsCrI3,194
mp-989532,Rb2TlInF6,225
mp-1225588,DyErC4,123
mp-756269,V3(O2F)2,5
mp-1039397,Ca2Mg,12
mp-1228961,AlCuSnS4,74
mp-1161,LaSe,225
mp-1113557,Cs2AgMoBr6,225
mp-1214842,Al8Cr4Si3,2
mp-985608,Nd2O5,15
mp-867151,ScPaOs2,225
mp-863679,ErTaRu2,225
mp-569788,LiZnGe,187
mp-1206682,SmNiBi,216
mp-603912,Nd2MoC2,136
mp-1105563,GdB4,127
mp-11718,RbF,225
mp-1176776,LiCoS2,227
mp-867306,AlCuAu2,225
mp-24809,CaH2,194
mp-1187722,Y2TlHg,225
mp-861984,Er2IrPd,225
mp-10835,RbSm2CuS4,63
mp-1079688,Hf4CuSi4,12
mp-1185943,MgRu2W,225
mp-9978,ErSe2,129
mp-672259,AlFe2Mo,225
mp-1247748,NbCr3S8,166
mp-505515,Sr(CuSb)2,129
mp-625447,Pr(HO)3,176
mp-1187443,Ti2GaRe,225
mp-10620,LiPrO2,14
mp-554669,Ba3Ta2CdO9,164
mp-27438,TlBiTe2,166
mp-1111691,K3TlF6,225
mp-759488,W3O7F,65
mp-1205929,Ba2GdPaO6,225
mp-1078539,Sr2MgMoO6,87
mp-1030104,Te6MoW3Se2,156
mp-1105749,Y3Si3Rh2,63
mp-1226959,Cd2InAgTe4,121
mp-865847,Lu2CuPt,225
mp-15781,KLaS2,166
mp-1104610,Eu5Pd2,15
mp-756077,VOF3,1
mp-27205,TlCl2,88
mp-1187668,U3Ge,139
mp-550950,LuCoO3,62
mp-1221406,NaEuF4,1
mp-677430,NaLiLa2Ti4O12,1
mp-23101,Nb2Bi2PbO9,139
mp-1216227,Y(Fe5Re)2,71
mp-19829,YbCrSb3,57
mp-1210441,Na3LuBr6,14
mp-7439,K3Cu3P2,166
mp-11184,Nd3Sb4Pt7,12
mp-865320,Lu2PdRu,225
mp-36864,Li2TiO3,15
mp-1219783,Rb4FeSbCl12,123
mp-364,AlRh,221
mp-1245444,Sr3NbN3,176
